ROW_ID, MENU_ID, MENU_NAME, TYPE, LAST_UPDATE_DATE, LAST_UPDATED_BY, LAST_UPDATE_LOGIN, CREATION_DATE, CREATED_BY, USER_MENU_NAME, DESCRIPTION
AAA/JXAGXAAAUfkABi,78375,ISC_DBI_SHIP_MGMT_PARAM,,14.01.05,120,0,06.01.04,2,Shipping Management Page Parameter,
AAA/JXAGXAAAUfkABj,78376,ISC_DBI_SHIP_MGMT_1,,14.01.05,120,0,06.01.04,2,Shipping Management Page Rack 1,
AAA/JXAGXAAAUfkABk,78377,ISC_DBI_SHIP_MGMT_2,,14.01.05,120,0,06.01.04,2,Shipping Management Page Rack 2,
AAA/JXAGXAAAUfkABl,78378,ISC_DBI_SHIP_MGMT_3,,14.01.05,120,0,06.01.04,2,Shipping Management Page Rack 3,
AAA/JXAGXAAAUfkABm,78379,ISC_DBI_DAILY_FULF_PAGES,,14.01.05,120,0,11.02.04,2,Daily Fulfillment Intelligence OA Pages Menu,
AAA/JXAGKAAAdNyAAA,78380,ISC_DBI_SHIP_MGMT_4,,14.01.05,120,0,06.01.04,2,Shipping Management Page Rack 4,
AAA/JXAGKAAAdNyAAB,78381,ISC_DBI_SHIP_MGMT_5,,14.01.05,120,0,06.01.04,2,Shipping Management Page Rack 5,
AAA/JXAGKAAAdNzAAA,78383,ISC_DBI_DAILY_FULF_MENU,,14.01.05,120,0,11.02.04,2,Daily Fulfillment Intelligence,Daily Fulfillment Intelligence Main Menu
AAA/JXAGKAAAdNyAAC,78382,ISC_DBI_SHIP_MGMT_PAGE,,14.01.05,120,0,06.01.04,2,Shipping Management Page,Shipping Management Page Definition Menu
AAA/JXAGKAAAdNzAAB,78384,ISC_DBI_DAILY_PLAN_PAGES,,14.01.05,120,0,11.02.04,2,Daily Planning Intelligence OA Pages Menu,
AAA/JXAGKAAAdNzAAC,78385,ISC_DBI_DAILY_PLAN_MENU,,14.01.05,120,0,11.02.04,2,Daily Planning Intelligence,Daily Planning Intelligence Main Menu
AAA/JXAGKAAAdNzAAD,78387,ISC_DBI_DAILY_CPI_PAGES,,14.01.05,120,0,26.04.04,2,Daily Customer and Product Intelligence OA Pages Menu,
AAA/JXAGKAAAdNxAAA,78386,ENI_DBI_PME_PARAM,,29.01.04,2,0,29.01.04,2,Product Management - Engineering Page Parameter,Product Management - Engineering Page Parameter
AAA/JXAGKAAAdNxAAB,78388,ENI_DBI_PME_1,,29.01.04,2,0,29.01.04,2,Product Management - Engineering Page Rack 1,Product Management - Engineering Page Rack 1
AAA/JXAGXAAAUflAAX,77263,AML_MONITOR_RULE_MAIN,,21.11.02,2,0,21.11.02,2,AML_MONITOR_RULE_MAIN,Monitoring Rules
AAA/JXAGXAAAUflAAY,77268,AML_INTERACTION_RULE_MAIN,,18.06.03,2,0,18.06.03,2,AML_INTERACTION_RULE_MAIN,Interaction Rules
AAA/JXAGXAAAUflAAZ,77270,AML_PROCESSING_RULE,,24.12.02,2,0,24.12.02,2,AML_PROCESSING_RULE,Lead Processing Rules
AAA/JXAGXAAAUflAAa,77276,ASF_ADMIN_LEAD_IMPORT_MAIN,,19.12.02,2,0,19.12.02,2,ASF_ADMIN_LEAD_IMPORT_MAIN,Lead Import Admin Report
AAA/JXAGXAAAUflAAb,77277,ASF_LEADS_PERF_MAIN,,19.12.02,2,0,19.12.02,2,ASF_LEADS_PERF_MAIN,
AAA/JXAGXAAAUflAAc,77279,ASF_LEADS_DIAG_MAIN,,19.12.02,2,0,19.12.02,2,ASF_LEADS_DIAG_MAIN,Rule Diagnostic Main
AAA/JXAGXAAAUflAAd,77288,CN_OIC_SF_MAIN_TAB,,27.11.02,2,0,27.11.02,2,Sales Force Incentive Compensation Main Tab,
AAA/JXAGXAAAUflAAe,77289,CN_OIC_SF_MAIN_MENU,,27.11.02,2,0,27.11.02,2,Sales Force Incentive Compensation Main Menu,
AAA/JXAGXAAAUflAAf,77295,OPM_INV_SETUP_UOM,STANDARD,09.02.04,2,0,09.02.04,2,OPM_INV_SETUP_UOM,Units of Measure Menu
AAA/JXAGXAAAUflAAg,77301,OPM-GR-ADMIN-ITEMS,STANDARD,24.02.04,2,0,24.02.04,2,OPM Application GR Item Information Menu,OPM Application GR Item Information Menu
AAA/JXAGXAAAUflAAh,77302,OPM-GR-DOCUMENT-MANAGEMENT,STANDARD,08.08.03,2,0,08.08.03,2,OPM Application GR Document Management Information Menu,OPM Application GR Document Management Information Menu
AAA/JXAGXAAAUflAAi,77303,OPM-GR-ADMIN-FIELD-NAMES,STANDARD,24.02.04,2,0,24.02.04,2,OPM Application GR Field Names Menu,OPM Application GR Field Names Menu
AAA/JXAGXAAAUflAAj,77304,OPM-GR-ADMIN-EUROPEAN,STANDARD,24.02.04,2,0,24.02.04,2,OPM Application GR European Info Menu,OPM Application GR European Info Menu
AAA/JXAGXAAAUflAAk,77305,OPM-GR-ADMIN-SETUP,STANDARD,24.02.04,2,0,24.02.04,2,OPM Application GR Setup Information Menu,OPM Application GR Setup Information Menu
